en,fr
Age:,Age:
Population:,Population:
Agree,Agree
Disagree,Disagree
No opinion,No opinion
Province:,Province:
Alberta,Alberta
British Columbia,British Columbia
Manitoba,Manitoba
New Brunswick,New Brunswick
Newfoundland and Labrador,Newfoundland and Labrador
Nova Scotia,Nova Scotia
Ontario,Ontario
Prince Edward Island,Prince Edward Island
Quebec,Quebec
Saskatchewan,Saskatchewan
Income:,Income:
"Less than $49,999","Less than $49,999"
"$50,000 - $99,999","$50,000 - $99,999"
"$100,000 - $149,999","$100,000 - $149,999"
"$150,000 - $199,999","$150,000 - $199,999"
"$200,000 or more","$200,000 or more"
Gender:,Gender:
Man,Man
Woman,Woman
Homeowner:,Homeowner:
Immigrant:,Immigrant:
Yes,Yes
No,No
Education:,Education:
Less than high school,Less than high school
High school,High school
Associate's degree or trades,Associate's degree or trades
Bachelor's degree,Bachelor's degree
Post-graduate degree,Post-graduate degree
Race:,Race:
Racialized minority,Racialized minority
White,White
Housing,Housing
Affordability,Affordability
Environment,Environment
Cultural Policy,Cultural Policy
Immigrants and Refugees,Immigrants and Refugees
Inclusion,Inclusion
Public Safety,Public Safety
Policing,Policing
Traffic and Transportation,Traffic and Transportation
Parks and Recreation,Parks and Recreation
Services and Maintenance,Services and Maintenance
Libraries,Libraries
Social Policy,Social Policy
Social Services,Social Services
Public Health,Public Health
Public Transit,Public Transit
Active Transportation,Active Transportation
FR,FR
Canadians' Municipal Policy Attitudes,Canadians' Municipal Policy Attitudes
Plot,Plot
"Please select one or more policy domains, and then choose a specific question from the drop-down menu below.","Please select one or more policy domains, and then choose a specific question from the drop-down menu below."
Policy domain:,Policy domain:
"Select a policy:","Select a policy:"
Instructions,Instructions
"This interactive app allows you to explore the policy attitudes of specific demographic groups on the largest and most diverse set of municipal policy issues ever included in a survey of Canadians.","This interactive app allows you to explore the policy attitudes of specific demographic groups on the largest and most diverse set of municipal policy issues ever included in a survey of Canadians."
"In the first menu of the ""Plot"" tab above, select one or more policy domains. The second menu contains specific policy statements belonging to the policy domains you selected. Use the second menu to view public opinion on a specific policy. To clear the policy domain box, press the ""Reset"" button.","In the first menu of the ""Plot"" tab above, select one or more policy domains. The second menu contains specific policy statements belonging to the policy domains you selected. Use the second menu to view public opinion on a specific policy. To clear the policy domain box, press the ""Reset"" button."
"Finally, adjust the set of characteristics in the panel to the left to see how different groups view the policy you have selected. When you're done, you can select a new policy by again using the menus above the plot.","Finally, adjust the set of characteristics in the panel to the left to see how different groups view the policy you have selected. When you're done, you can select a new policy by again using the menus above the plot."
"Details","Details"
"The data for this app come from the Canadian Municipal Barometer's annual","The data for this app come from the Canadian Municipal Barometer's annual"
"Citizen Survey","Citizen Survey"
". Currently, it uses the 2025 data. It will soon be updated with more questions from the 2025 survey, and, in future years, new surveys will be added.",". Currently, it uses the 2025 data. It will soon be updated with more questions from the 2025 survey, and, in future years, new surveys will be added."
"Weights were constructed using iterative proportional fitting (see ","Weights were constructed using iterative proportional fitting (see "
"DeBell and Krosnick","DeBell and Krosnick"
"Note that due to there being a small number of responses in Prince Edward Island, many of the policy issues for that province do not produce reliable estimates of public opinion, and sometimes this leads to odd results when Prince Edward Island is selected.","Note that due to there being a small number of responses in Prince Edward Island, many of the policy issues for that province do not produce reliable estimates of public opinion, and sometimes this leads to odd results when Prince Edward Island is selected."
"The combination of the policy question and demographic characteristics that you have selected aren't in the data. Please make another selection.","The combination of the policy question and demographic characteristics that you have selected aren't in the data. Please make another selection."
